Feed Name,Provider,Location,feed_url,expired,download_url
abm-mobilitat,AMB-Mobilitat,"Barcelona, Catalonia, Spain",https://gtfs.pro/en/spain/AMB-Mobilitat/abm-mobilitat,False,https://s3.gtfs.pro/files/uran/improved-gtfs-abm-mobilitat.zip
barcelona,Ayuntamiento-de-Barcelona,Spain,https://gtfs.pro/en/spain/Ayuntamiento-de-Barcelona/barcelona,False,https://s3.gtfs.pro/files/uran/improved-gtfs-barcelona.zip
autobuses-interurbanos,Consorcio-de-Transportes-de-Madrid,"Madrid, Spain",https://gtfs.pro/en/spain/Consorcio-de-Transportes-de-Madrid/autobuses-interurbanos,False,https://s3.gtfs.pro/files/uran/improved-gtfs-autobuses-interurbanos.zip
metro-ligero,Consorcio-de-Transportes-de-Madrid,"Madrid, Spain",https://gtfs.pro/en/spain/Consorcio-de-Transportes-de-Madrid/metro-ligero,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-ligero.zip
old-emt,Consorcio-de-Transportes-de-Madrid,Spain,https://gtfs.pro/en/spain/Consorcio-de-Transportes-de-Madrid/old-emt,False,https://s3.gtfs.pro/files/uran/improved-gtfs-old-emt.zip
metrovalencia,Consorcio-de-Transportes-de-Mallorca,"Palma, Balearic Islands, Spain",https://gtfs.pro/en/spain/Consorcio-de-Transportes-de-Mallorca/metrovalencia,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metrovalencia.zip
artxanda-funicular,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/artxanda-funicular,False,https://s3.gtfs.pro/files/uran/improved-gtfs-artxanda-funicular.zip
bizkaibus,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/bizkaibus,False,https://s3.gtfs.pro/files/uran/improved-gtfs-bizkaibus.zip
dbus,Eusko-Jaurlaritzaren,"Saint Sebastian, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/dbus,False,https://s3.gtfs.pro/files/uran/improved-gtfs-dbus.zip
euskotren-eusko,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/euskotren-eusko,False,https://s3.gtfs.pro/files/uran/improved-gtfs-euskotren-eusko.zip
la-union,Eusko-Jaurlaritzaren,"Basque Country, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/la-union,False,https://s3.gtfs.pro/files/uran/improved-gtfs-la-union.zip
lurraldebus-arrasate,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/lurraldebus-arrasate,False,https://s3.gtfs.pro/files/uran/improved-gtfs-lurraldebus-arrasate.zip
lurraldebus-auif-urb,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/lurraldebus-auif-urb,False,https://s3.gtfs.pro/files/uran/improved-gtfs-lurraldebus-auif-urb.zip
